id,nazwa,ulica
219,Sahline,Express
220,Pulau Pinang,Kenwood
221,Nelidovo,Anzinger
222,Lugovoy,Shopko
223,Tuhe,Amoth
224,Besuki,Sheridan
225,Mönchengladbach,Hooker
226,Tojal,Portage
227,Xiaotao,Hanover
228,Kut Chap,Rockefeller
229,Hallstavik,Dunning
230,Jatake,Sullivan
231,Smithers,Twin Pines
232,Ziliang,Almo
233,Créteil,Manitowish
234,Starigrad,Knutson
235,Umeå,Heffernan
236,Lishan,Main
237,Hoorn,Fallview
238,Maco,Hanover
239,Ouangani,Sullivan
240,Nayoro,Fairview
241,Chmielno,Little Fleur
242,Soly,Vahlen
243,Kampong Thom,Northwestern
244,Xibing,Cody
245,Wenshang,Del Sol
246,Huayllo,Burrows
247,Lourdes,Mccormick
248,Áno Kastrítsion,Farmco
249,Ketawang,Milwaukee
250,Murcia,Gina
