id,Kierowca_id,Autobus_id,Data_przejazdu_ID,Przystanek_koncowy_id,Przystanek_poczatkowy_id,Bilet_id
130,8,16,58,363,31,1156
131,238,95,281,145,50,2609
132,222,71,488,253,137,2064
133,198,149,709,45,56,1664
134,182,107,313,354,324,1812
135,45,55,772,38,353,1049
136,106,61,526,384,278,2672
137,184,223,350,12,110,122
138,17,193,762,198,374,607
139,34,247,311,259,34,1028
140,248,256,324,110,26,2632
141,9,71,401,153,143,2410
142,141,120,680,133,57,2287
143,177,73,439,246,1,741
144,261,272,639,182,88,2777
145,280,204,130,123,349,1599
146,97,35,424,269,240,199
147,8,91,521,386,301,24
148,280,128,678,278,318,94
149,108,171,288,273,149,143
150,7,180,495,196,213,2431
151,1,27,420,374,327,2060
152,52,179,716,347,375,34
153,106,127,342,388,383,2899
154,74,156,750,356,310,919
155,193,181,414,373,94,1558
156,201,231,784,67,325,1
157,42,50,764,363,285,1467
158,215,83,58,382,153,937
159,104,92,640,57,348,375
160,181,44,692,348,392,2717
161,275,196,529,359,178,2999
162,145,72,79,331,400,1043
163,132,155,512,349,365,632
164,271,47,296,85,121,761
165,202,89,120,117,341,2985
166,23,85,469,368,13,103
167,269,115,113,246,81,447
168,295,125,784,12,6,1629
169,95,275,555,384,128,708
170,23,44,305,81,191,1988
171,109,17,207,51,356,1730
172,252,129,781,119,65,1475
173,209,187,536,291,110,1497
174,228,274,114,308,337,13
175,71,272,435,103,19,1182
176,48,70,566,359,383,1488
177,295,60,394,299,381,2543
178,139,36,629,236,143,2421
179,159,173,354,257,128,2983
180,11,36,497,351,48,2132
181,17,112,796,370,213,1259
182,129,204,540,18,13,2822
183,130,225,630,253,349,2441
184,300,106,418,290,69,2692
185,257,80,473,38,379,2373
186,253,38,559,179,338,1487
187,78,262,361,60,263,672
188,83,77,559,355,32,346
189,46,10,511,92,341,699
190,136,99,47,44,163,1597
191,29,239,74,99,6,1923
192,46,189,689,389,375,560
193,289,24,363,246,46,2422
194,62,250,497,83,193,1937
195,141,237,328,335,142,2986
196,200,150,408,274,148,1967
197,273,211,584,27,160,2499
198,36,105,77,59,249,1347
199,129,86,637,26,229,2492
200,175,75,99,391,392,113
201,157,26,414,214,304,1752
202,171,19,164,10,86,2042
203,44,78,64,186,219,2928
204,22,268,682,203,225,2547
205,97,142,692,47,86,2841
206,213,186,492,123,222,2546
207,182,149,257,217,308,878
208,98,41,208,282,318,1295
209,269,76,612,180,224,1830
210,194,171,305,94,94,2459
211,248,97,98,15,104,1460
212,129,22,430,153,15,193
213,275,54,493,147,241,89
214,66,195,687,338,39,227
215,62,49,192,297,399,867
216,65,14,788,330,346,2015
217,252,141,131,266,206,652
218,1,59,9,145,118,2829
219,286,67,227,390,25,1914
220,150,5,616,7,116,416
221,103,2,433,213,382,1172
222,5,141,561,212,203,2932
223,64,172,465,11,292,2785
224,270,156,389,204,302,2002
225,126,126,141,9,337,1377
226,280,211,174,162,274,1301
227,147,1,207,124,315,1539
228,237,203,703,311,164,1659
229,62,51,326,120,43,2596
230,89,71,649,215,4,90
231,119,10,234,235,21,2627
232,296,100,268,27,22,2238
233,156,261,621,291,399,2603
234,207,195,412,23,310,2254
235,274,134,157,137,382,804
236,260,172,254,245,111,2087
237,213,122,724,293,103,577
238,41,240,721,186,98,596
239,70,47,361,90,240,821
240,63,10,139,203,77,2564
241,300,272,391,104,46,1177
242,88,60,448,237,271,1481
243,172,210,589,346,229,2186
244,122,179,734,380,315,2416
245,114,234,236,85,326,2222
246,160,162,262,285,217,1208
247,26,106,342,153,200,2773
248,95,112,337,313,210,1271
249,263,23,417,75,22,2488
250,214,10,599,268,218,2717
251,162,185,668,45,134,2097
252,231,62,412,376,112,287
253,208,43,195,34,95,1369
254,184,132,640,205,8,1366
255,297,94,565,290,143,2832
256,160,180,314,340,185,1017
257,285,198,720,109,169,949
258,292,92,397,331,62,2704
259,88,204,456,37,30,1203
260,259,32,38,110,310,137
261,60,64,210,362,108,2168
262,115,16,260,304,59,167
263,264,184,273,319,377,1991
264,190,98,147,113,51,395
265,289,226,515,318,84,2295
266,148,256,465,276,237,2305
267,146,114,17,170,213,2292
268,245,71,111,340,108,2378
269,220,3,620,357,219,2351
270,32,53,393,261,310,2955
271,175,256,4,65,220,891
272,290,6,491,200,331,172
273,26,231,396,353,213,2176
274,192,38,630,221,14,232
275,240,104,585,304,168,2637
276,23,108,135,325,372,1897
277,239,120,366,20,164,2049
278,83,165,701,57,389,2089
279,132,119,340,282,157,211
280,126,35,590,295,130,2969
281,166,50,731,156,38,1215
282,160,118,229,262,320,679
283,270,186,506,354,270,1589
284,22,222,599,330,38,1984
285,137,222,16,253,77,1882
286,223,44,114,154,161,1876
287,280,50,539,37,186,508
288,47,168,458,337,226,39
289,297,69,584,357,40,1744
290,54,132,459,109,146,1467
291,195,236,428,300,119,1275
292,183,74,392,143,261,764
293,28,178,478,246,60,625
294,122,170,684,145,227,1136
295,35,34,785,399,330,1274
296,104,180,13,323,187,1240
297,129,35,150,359,118,890
298,47,270,410,47,145,1510
299,156,106,266,241,299,2257
300,109,218,373,166,308,2263
301,69,102,368,104,218,1234
302,87,190,323,379,156,1819
303,65,49,338,213,64,1966
304,107,197,446,7,113,2002
305,234,275,713,388,168,243
306,75,76,358,381,48,1954
307,154,141,311,369,346,2608
308,226,50,426,331,316,187
309,97,38,45,379,293,2824
310,170,188,638,106,53,1433
311,163,271,730,280,371,2628
312,278,1,417,255,211,2112
313,210,179,665,388,321,1745
314,114,168,685,115,120,2347
315,284,263,333,284,300,1788
316,270,118,159,53,75,729
317,153,123,176,260,89,1273
318,108,275,322,26,98,850
319,276,237,438,115,109,174
320,143,134,789,252,214,1716
321,171,94,756,54,317,1170
322,88,199,131,127,224,951
323,197,51,664,87,247,1843
324,161,61,208,340,308,2983
325,11,71,321,152,305,2368
326,115,59,206,315,294,580
327,2,24,514,375,198,1340
328,140,214,289,138,90,1430
329,69,264,255,217,179,886
330,97,259,195,166,310,289
331,278,244,451,201,182,2710
332,130,41,215,207,389,1060
333,261,39,297,51,389,1587
334,218,218,264,77,81,2978
335,189,165,470,334,138,2928
336,213,158,550,370,40,2846
337,63,232,199,327,68,2439
338,94,180,208,280,85,904
339,17,260,210,137,295,2882
340,242,260,763,48,154,2839
341,231,183,467,97,218,765
342,11,60,153,229,88,1892
343,154,26,222,109,389,1652
344,33,141,795,11,268,2152
345,234,79,759,292,125,1746
346,129,123,294,124,85,1795
347,241,18,706,307,131,295
348,104,202,133,223,240,1751
349,125,247,495,229,199,354
350,82,115,262,359,261,777
351,74,248,45,221,234,2369
352,39,126,624,154,314,1950
353,32,226,282,376,379,2810
354,68,159,114,152,390,2469
355,232,262,396,359,347,2405
356,76,52,499,42,202,581
357,118,195,732,387,52,1014
358,172,55,408,233,206,2210
359,113,212,196,316,292,389
360,110,231,189,36,225,1623
361,134,140,121,344,36,1452
362,194,135,223,386,284,2066
363,281,120,793,77,340,713
364,147,267,518,209,189,1561
365,197,38,230,92,278,2053
366,297,213,639,222,272,1087
367,131,43,588,51,393,2846
368,80,42,134,298,299,2195
369,16,191,662,113,309,400
370,227,260,110,378,177,1537
371,275,151,571,247,228,1218
372,11,275,427,144,177,1853
373,123,179,644,80,17,95
374,48,68,542,12,226,1414
375,261,184,476,340,308,1355
376,121,188,603,68,53,2426
377,149,25,406,127,107,1595
378,255,102,22,118,293,798
379,102,46,497,87,224,352
380,105,222,675,130,333,2214
381,137,273,652,64,350,2123
382,43,117,115,185,70,2823
383,18,76,527,182,31,1469
384,251,150,146,97,67,2898
385,258,242,546,383,16,857
386,16,235,730,278,170,1108
387,134,139,317,356,206,1621
388,30,211,678,129,148,1053
389,101,175,144,222,304,2592
390,144,55,405,386,47,463
391,129,131,255,69,374,1069
392,160,147,626,269,114,1304
393,35,142,631,351,341,1335
394,152,99,44,73,348,356
395,108,64,376,128,80,925
396,300,79,10,123,184,2348
397,117,13,590,64,53,2144
398,133,164,627,90,91,1488
399,262,152,554,36,84,2175
400,18,209,578,271,155,234
401,71,230,436,18,260,1022
402,282,250,556,325,197,494
403,47,153,364,65,83,2072
404,152,2,237,99,144,1796
405,119,26,433,89,70,1310
406,220,172,340,30,344,1196
407,142,12,214,369,340,2050
408,300,245,712,369,329,274
409,40,4,726,104,366,2961
410,182,15,274,65,372,2918
411,140,153,250,215,171,1326
412,8,170,343,319,127,1322
413,129,58,589,220,38,446
414,76,251,127,129,219,2357
415,19,136,593,100,121,1997
416,267,203,698,37,237,1143
417,109,38,36,267,285,2270
418,101,272,155,309,355,1234
419,56,95,782,397,161,2111
420,26,137,469,108,117,800
421,77,83,759,18,178,638
422,185,191,531,72,96,1232
423,115,8,123,239,250,772
424,74,191,122,350,399,2749
425,35,211,214,350,196,1958
426,77,118,600,334,61,2574
427,8,165,116,288,219,379
428,163,68,419,329,76,710
429,152,235,281,150,230,1325
430,266,233,511,147,151,1584
431,29,195,607,352,89,660
432,244,8,762,306,258,1390
433,70,119,313,355,186,1698
434,1,212,789,134,139,614
435,99,209,285,38,321,2334
436,75,32,151,137,196,2920
437,114,49,335,60,257,1673
438,267,249,434,233,253,943
439,213,128,322,45,28,1133
440,103,90,485,136,90,1695
441,21,129,297,19,168,468
442,9,77,612,240,286,1826
443,34,12,114,329,42,991
444,162,157,517,138,193,1551
445,116,253,504,259,310,2219
446,129,141,468,19,333,1478
447,117,266,363,3,167,236
448,83,203,658,6,267,1547
449,103,56,248,19,21,292
450,22,272,767,129,154,599
451,187,115,180,108,82,568
452,108,212,643,268,297,2658
453,232,234,15,222,265,1364
454,184,139,734,286,240,1421
455,31,214,104,184,72,539
456,166,265,795,61,221,1859
457,202,112,119,183,254,931
458,83,26,118,107,176,672
459,17,121,446,332,132,2044
460,142,88,526,169,222,2137
461,144,84,639,21,35,2010
462,238,169,453,383,250,594
463,217,138,409,140,63,392
464,238,265,465,179,58,352
465,28,101,113,328,114,2889
466,34,83,280,55,164,1462
467,294,223,350,220,250,933
468,168,182,610,284,25,2320
469,4,81,500,128,283,2366
470,209,189,433,52,220,2709
471,45,166,524,123,162,2020
472,196,130,154,53,307,48
473,206,162,49,136,139,2615
474,17,5,443,61,321,2533
475,145,271,478,376,347,974
476,299,157,21,255,265,1579
477,142,109,535,140,345,1871
478,41,3,434,118,15,425
479,138,19,505,117,312,2884
480,112,103,316,312,42,1359
481,271,238,726,17,59,2109
482,238,187,406,301,271,2090
483,77,217,112,212,239,2527
484,202,36,409,276,239,2377
485,24,228,546,383,243,2854
486,74,202,636,343,137,272
487,286,242,598,309,369,1757
488,250,69,51,43,393,2896
489,61,139,464,229,360,2787
490,220,232,493,293,315,1777
491,199,8,31,192,312,15
492,256,62,73,296,169,705
493,39,202,738,324,370,2434
494,97,172,288,217,10,167
495,76,235,427,324,254,2555
496,177,69,667,284,145,995
497,165,192,697,3,123,1292
498,275,65,310,2,212,544
499,116,269,443,332,211,2212
500,63,234,195,55,333,393
501,292,204,461,400,48,1325
502,258,78,43,292,157,894
503,274,210,458,249,47,2569
504,26,106,209,52,73,2932
505,253,181,524,22,253,1232
506,60,208,226,258,342,1797
507,196,150,523,302,165,2129
508,238,155,480,270,89,984
509,265,235,6,96,95,522
510,146,262,630,220,390,1400
511,148,213,703,222,96,1019
512,74,59,245,84,336,2134
513,242,135,756,110,290,515
514,268,74,745,197,317,1801
515,295,120,391,179,261,1326
516,286,100,456,19,334,451
517,133,216,710,212,182,6
518,300,240,787,223,306,2312
519,207,111,787,154,258,2854
520,177,134,689,217,315,2665
521,170,244,544,282,12,1840
522,33,170,502,246,281,29
523,61,185,581,211,17,2493
524,219,230,648,298,250,2683
525,93,150,500,172,304,1046
526,26,35,792,275,143,1378
527,247,159,8,343,278,1172
528,168,158,376,181,249,881
529,122,256,222,112,353,2083
530,101,108,181,340,127,295
531,94,154,315,256,303,928
532,246,233,794,56,265,908
533,35,49,370,4,162,2977
534,168,103,43,27,196,708
535,14,206,693,19,158,1445
536,257,32,714,393,329,1571
537,221,13,258,91,306,2649
538,77,221,498,208,140,938
539,193,240,150,153,100,2315
540,103,175,155,337,98,1003
541,272,224,63,342,331,365
542,225,124,226,72,284,2437
543,155,264,769,101,209,1920
544,51,183,461,342,387,1706
545,227,236,35,133,144,375
546,245,273,208,155,189,1361
547,171,4,113,248,97,2939
548,105,201,250,73,41,1892
549,238,49,239,58,35,2908
550,118,259,107,325,380,430
551,82,171,688,322,68,1299
552,241,235,484,205,308,667
553,162,42,786,205,80,2879
554,150,34,634,372,81,1265
555,58,195,662,34,101,1951
556,286,160,125,324,184,325
557,134,237,694,1,305,2822
558,262,263,259,138,197,412
559,204,169,96,374,180,2013
560,165,184,89,296,34,424
561,211,115,479,148,143,2572
562,147,268,173,52,206,896
563,129,175,687,250,70,344
564,241,46,655,382,176,2815
565,136,191,558,108,375,2254
566,177,268,800,196,221,530
567,116,103,629,173,203,2658
568,20,196,363,309,283,2699
569,172,213,446,56,42,1273
570,4,68,661,32,309,2907
571,163,146,359,203,355,300
572,175,152,371,319,36,709
573,96,5,127,106,358,1957
574,21,248,522,17,395,184
575,33,160,305,238,335,882
576,96,160,738,271,351,782
577,299,168,485,214,14,2025
578,42,35,278,28,386,551
579,242,125,110,293,49,741
580,89,120,626,278,151,1420
581,203,9,800,344,391,405
582,128,232,326,153,171,609
583,241,86,119,199,32,2109
584,221,217,124,364,161,591
585,210,82,241,305,241,2585
586,188,178,68,191,165,56
587,69,141,366,155,195,525
588,294,4,401,101,67,989
589,144,136,29,172,123,395
590,296,57,107,166,383,824
591,3,127,51,224,97,1556
592,276,141,530,140,138,2173
593,11,239,602,188,39,2399
594,170,95,699,360,307,2570
595,63,125,102,377,81,526
596,162,88,237,392,295,2264
597,287,164,689,375,12,2814
598,4,260,138,91,333,1984
599,299,22,709,44,93,2556
600,41,64,305,371,5,841
601,163,28,746,106,301,520
602,153,138,488,158,128,2362
603,254,36,242,203,262,494
604,171,169,253,26,152,2738
605,5,84,781,333,269,1819
606,183,72,582,63,217,1187
607,79,1,16,235,244,1623
608,210,75,169,13,310,2000
609,14,219,311,51,286,391
610,184,265,24,380,120,2493
611,179,71,195,173,214,608
612,81,89,718,385,326,2063
613,274,180,73,230,373,822
614,82,24,162,110,200,536
615,248,207,787,117,124,574
616,54,150,512,153,43,2439
617,16,224,96,74,62,1852
618,299,216,417,239,37,298
619,110,45,80,175,399,788
620,105,66,642,154,167,21
621,58,196,530,340,262,1201
622,107,11,570,138,267,1214
623,132,173,269,109,195,681
624,280,267,106,334,84,1554
625,109,251,480,77,226,2445
626,79,111,364,290,372,513
627,12,55,615,66,167,920
628,12,21,520,196,139,1672
629,194,120,155,146,57,892
630,94,121,598,228,66,390
631,283,138,559,344,138,671
632,294,141,76,93,377,576
633,27,119,409,109,118,443
634,212,212,503,105,373,972
635,106,243,785,150,184,1421
636,117,110,165,206,381,711
637,236,223,23,355,232,444
638,207,48,608,43,106,294
639,281,73,244,270,116,717
640,34,158,693,306,330,2470
641,196,151,785,47,292,2179
642,161,216,477,243,260,972
643,135,226,360,173,400,1343
644,13,36,751,39,377,415
645,289,119,232,390,247,1050
646,25,12,239,345,337,2142
647,23,71,794,190,364,814
648,141,179,434,367,322,1935
649,156,142,592,213,117,966
650,5,219,139,138,119,1801
651,39,185,722,110,315,2853
652,271,235,126,106,64,2785
653,285,187,446,22,399,282
654,111,233,78,269,378,2510
655,298,88,395,339,146,142
656,98,257,372,289,57,237
657,159,115,124,44,343,1066
658,235,216,56,13,49,2456
659,294,12,587,327,9,1314
660,223,213,264,104,19,431
661,59,166,19,273,185,1421
662,198,204,529,263,335,2544
663,154,26,496,90,267,1909
664,19,30,208,76,248,1770
665,153,149,274,263,214,1236
666,20,124,115,373,168,2158
667,201,179,274,10,15,1007
668,188,47,461,359,298,2493
669,246,268,77,303,378,180
670,223,145,35,376,110,2102
671,288,274,773,97,264,42
672,53,271,373,40,72,281
673,93,220,427,189,29,2349
674,78,22,246,151,15,350
675,63,101,68,394,86,1323
676,251,73,184,328,164,2155
677,161,226,258,210,91,1773
678,151,53,765,145,323,1281
679,40,117,322,2,93,2951
680,50,159,256,190,147,2553
681,141,169,71,310,375,1235
682,139,188,666,308,143,626
683,57,56,761,311,392,2816
684,172,247,94,48,245,1624
685,182,109,95,71,76,2345
686,292,122,695,209,48,214
687,131,22,83,336,220,1216
688,281,142,372,388,250,2027
689,58,185,87,222,369,2735
690,1,10,170,187,277,1047
691,277,44,524,366,242,2988
692,28,267,61,230,311,2428
693,182,223,498,254,93,256
694,250,201,4,207,138,1141
695,173,214,511,52,224,1731
696,100,241,555,107,192,2643
697,169,252,250,341,303,899
698,5,114,376,109,297,982
699,24,124,474,374,282,2721
700,12,275,763,127,70,2935
701,298,100,488,141,128,832
702,30,167,61,203,205,939
703,112,241,85,95,358,1248
704,297,76,215,133,90,33
705,32,228,94,227,18,482
706,142,226,373,96,128,2553
707,78,19,337,81,13,1335
708,251,239,47,220,398,860
709,27,38,256,5,40,2167
710,58,114,148,57,2,24
711,59,114,31,59,310,2797
712,74,81,299,241,316,1609
713,197,259,151,62,363,2646
714,220,270,494,44,344,1241
715,175,269,19,64,99,1530
716,221,9,766,347,61,2262
717,236,199,455,172,87,1251
718,137,153,251,234,225,1378
719,294,209,170,351,91,2624
720,138,23,150,53,288,1557
721,49,124,32,27,329,1550
722,63,101,172,394,300,1907
723,267,227,94,251,53,1242
724,92,135,2,35,13,298
725,273,11,441,360,89,261
726,149,146,611,17,138,1503
727,31,25,65,236,359,1962
728,224,11,791,261,108,324
729,92,121,559,353,14,514
730,232,83,482,199,91,2094
731,88,212,333,94,235,286
732,125,13,204,289,251,896
733,26,50,367,274,195,1314
734,190,153,231,114,305,1450
735,16,263,107,127,108,260
736,280,189,608,52,239,1944
737,290,116,562,41,368,548
738,150,141,274,95,264,2694
739,167,106,664,239,176,2470
740,239,71,760,163,166,2075
741,261,79,584,39,17,2547
742,127,117,577,112,25,124
743,125,126,369,151,83,2775
744,87,35,323,262,377,1386
745,265,119,292,382,296,1910
746,105,232,625,78,387,705
747,48,88,229,270,198,2103
748,218,16,327,102,188,2047
749,214,254,293,18,70,2918
750,31,95,17,45,348,2517
751,17,72,65,329,173,2056
752,145,92,442,175,106,789
753,200,175,11,35,251,2898
754,133,215,63,19,213,4
755,246,266,36,73,242,818
756,205,248,718,241,67,2414
757,263,257,617,50,178,1785
758,59,262,160,267,24,2655
759,80,95,7,92,323,644
760,60,118,326,268,225,1480
761,42,268,303,393,136,989
762,86,262,617,322,258,281
763,118,263,733,349,57,1404
764,120,248,204,147,225,199
765,252,37,411,214,17,108
766,250,231,44,36,19,1581
767,250,24,567,336,339,1251
768,133,134,603,333,21,1827
769,134,267,300,255,395,293
770,30,173,30,385,82,513
771,64,149,318,4,42,1181
772,257,123,136,293,249,1911
773,40,222,146,336,231,2479
774,119,255,387,365,104,1676
775,276,40,413,175,123,1714
776,233,198,712,360,236,32
777,194,126,425,283,384,1008
778,157,262,679,29,187,1985
779,9,227,92,61,114,226
780,17,115,513,153,397,155
781,173,137,411,67,31,1046
782,89,148,446,36,95,2436
783,85,20,277,261,119,786
784,232,232,100,359,82,2021
785,288,134,678,230,124,1931
786,173,68,233,116,76,696
787,281,165,463,46,285,170
788,206,46,29,213,144,998
789,244,34,426,279,188,940
790,284,215,732,149,322,1146
791,195,211,280,38,209,1740
792,115,174,722,220,108,1111
793,28,174,239,383,7,1703
794,196,59,385,262,114,2757
795,122,193,378,299,303,1174
796,122,25,499,252,126,111
797,267,228,769,122,209,749
798,257,52,5,125,315,216
799,235,201,606,391,286,91
800,100,36,164,59,333,2811
801,187,14,543,38,211,1689
802,269,200,322,96,343,2132
803,67,38,770,30,251,2393
804,153,195,798,271,332,479
805,41,55,799,136,351,1185
806,95,163,716,169,245,1857
807,215,182,102,313,62,2049
808,8,63,456,321,302,2831
809,245,269,329,348,76,31
810,170,78,119,18,347,1058
811,233,56,561,152,279,2692
812,99,51,236,67,61,2630
813,75,94,798,205,90,898
814,51,225,160,255,304,2865
815,10,236,682,192,156,2868
816,202,176,101,217,41,1185
817,221,62,35,40,85,2955
818,110,100,702,348,70,663
819,91,176,452,131,48,226
820,22,23,281,285,218,1228
821,156,216,674,53,20,770
822,242,229,275,388,202,1347
823,165,209,171,3,239,1654
824,104,84,432,258,161,1899
825,288,95,217,12,1,472
826,257,259,265,176,134,1066
827,203,104,202,170,260,2735
828,159,69,439,179,381,1331
829,200,34,656,253,265,48
830,17,8,154,348,288,1656
831,143,59,134,136,19,1142
832,96,248,587,86,261,1842
833,191,247,408,305,209,1608
834,9,240,138,139,292,240
835,109,274,628,256,394,1331
836,165,94,331,194,78,2221
837,260,235,652,66,126,1189
838,193,226,264,98,101,1381
839,176,176,131,202,27,692
840,21,69,516,329,343,2340
841,165,70,719,5,272,2227
842,113,81,335,56,162,731
843,107,135,666,305,73,1630
844,105,124,643,400,320,764
845,90,197,70,356,70,735
846,38,77,568,214,142,566
847,153,101,619,98,77,856
848,197,7,226,171,183,836
849,12,27,776,327,195,248
850,140,52,779,68,166,779
851,159,24,190,203,390,1054
852,265,203,351,12,379,2734
853,258,19,150,287,49,2214
854,243,193,540,122,88,1947
855,223,108,271,243,245,538
856,254,210,403,330,68,237
857,276,132,416,101,377,2532
858,267,271,317,99,95,2290
859,276,264,664,33,378,446
860,73,105,29,370,200,1588
861,270,149,646,336,348,2423
862,192,73,4,277,392,2459
863,81,170,130,70,144,1705
864,157,74,579,202,61,2968
865,151,44,539,110,89,225
866,108,196,769,322,30,924
867,19,163,407,380,169,2717
868,94,52,23,351,362,311
869,118,167,190,350,313,1704
870,273,236,160,398,343,2929
871,174,25,677,16,345,1647
872,4,265,63,150,50,2262
873,136,226,592,117,312,1054
874,160,229,252,175,170,514
875,297,45,58,183,396,264
876,198,130,663,72,314,815
877,36,65,663,158,104,2044
878,146,115,736,178,327,1804
879,209,103,255,119,134,9
880,117,251,186,60,66,661
881,221,116,527,60,322,2147
882,16,150,580,62,60,968
883,218,244,593,107,291,2579
884,138,141,308,77,169,1521
885,64,172,776,370,191,458
886,201,274,503,347,396,1703
887,162,224,229,226,330,2068
888,117,227,721,207,198,1248
889,28,7,33,199,333,81
890,103,67,576,371,183,10
891,213,247,248,301,137,2941
892,251,87,82,165,323,803
893,3,63,255,154,174,1936
894,238,137,348,75,232,1342
895,254,103,742,9,178,2864
896,50,251,659,390,8,2264
897,49,65,75,258,193,2194
898,95,21,381,21,385,104
899,276,262,453,310,155,2351
900,96,216,298,22,272,2853
901,281,202,587,8,88,1298
902,26,267,108,368,304,2662
903,230,80,74,388,371,1486
904,258,110,321,35,305,1631
905,51,45,682,32,180,2651
906,260,98,89,293,111,2455
907,217,107,205,3,43,2520
908,192,269,781,29,325,1184
909,208,194,347,286,294,2505
910,60,116,712,253,379,2616
911,204,28,226,276,48,186
912,170,237,183,205,387,1384
913,81,145,304,3,54,1188
914,159,150,165,211,106,111
915,6,152,388,218,238,2375
916,135,154,325,69,267,170
917,210,186,462,251,292,2896
918,255,174,594,32,231,187
919,57,176,702,97,381,2834
920,250,85,213,213,4,531
921,273,159,468,302,148,2446
922,185,194,669,169,38,11
923,182,42,275,65,398,405
924,218,55,627,120,213,1480
925,260,218,286,288,103,1935
926,106,124,91,108,90,1024
927,140,111,791,32,133,2499
928,90,66,331,75,61,325
929,146,79,526,170,129,2166
930,72,97,155,131,38,1413
931,135,258,481,336,229,1362
932,164,6,615,126,133,2829
933,28,105,563,375,306,291
934,251,152,110,2,342,521
935,31,126,683,178,360,660
936,31,168,700,141,337,1010
937,69,110,510,112,310,1963
938,238,33,413,275,205,740
939,98,36,571,299,198,1869
940,184,207,313,82,309,2597
941,184,250,199,108,125,572
942,147,87,798,151,317,2565
943,60,215,511,36,131,2138
944,85,77,92,71,154,25
945,204,39,757,257,271,1172
946,119,28,476,227,337,2765
